origin_country,total_flights,avg_velocity,processing_time
United States,4869,148.71698171358128,2025-10-18 01:11:37.664160
Canada,372,151.00540322580645,2025-10-18 01:11:37.664160
Australia,288,97.16197916666667,2025-10-18 01:11:37.664160
China,215,187.00548837209303,2025-10-18 01:11:37.664160
Japan,190,170.53642105263157,2025-10-18 01:11:37.664160
India,164,186.47182926829268,2025-10-18 01:11:37.664160
Turkey,154,212.3922077922078,2025-10-18 01:11:37.664160
United Kingdom,124,182.2215322580645,2025-10-18 01:11:37.664160
United Arab Emirates,101,212.76980198019803,2025-10-18 01:11:37.664160
Brazil,92,160.79195652173914,2025-10-18 01:11:37.664160
Republic of Korea,87,182.77459770114942,2025-10-18 01:11:37.664160
New Zealand,72,96.22652777777778,2025-10-18 01:11:37.664160
Mexico,62,168.39983870967743,2025-10-18 01:11:37.664160
Thailand,60,167.38133333333332,2025-10-18 01:11:37.664160
Taiwan,54,175.31814814814814,2025-10-18 01:11:37.664160
Qatar,53,228.33584905660376,2025-10-18 01:11:37.664160
Indonesia,53,219.03981132075472,2025-10-18 01:11:37.664160
Germany,48,173.93458333333334,2025-10-18 01:11:37.664160
Philippines,37,137.70756756756757,2025-10-18 01:11:37.664160
France,35,197.42057142857144,2025-10-18 01:11:37.664160
Viet Nam,34,182.96588235294118,2025-10-18 01:11:37.664160
Chile,29,177.44,2025-10-18 01:11:37.664160
Singapore,29,216.03310344827585,2025-10-18 01:11:37.664160
Malaysia,28,166.85285714285715,2025-10-18 01:11:37.664160
Spain,28,207.14535714285714,2025-10-18 01:11:37.664160
Egypt,27,218.5377777777778,2025-10-18 01:11:37.664160
Saudi Arabia,25,234.82,2025-10-18 01:11:37.664160
Kingdom of the Netherlands,24,215.82625,2025-10-18 01:11:37.664160
Ireland,24,186.49249999999998,2025-10-18 01:11:37.664160
Argentina,19,136.77157894736843,2025-10-18 01:11:37.664160
Russian Federation,19,191.82894736842104,2025-10-18 01:11:37.664160
Iceland,18,165.13888888888889,2025-10-18 01:11:37.664160
Poland,17,176.00882352941176,2025-10-18 01:11:37.664160
Finland,15,186.18866666666665,2025-10-18 01:11:37.664160
Kuwait,14,179.555,2025-10-18 01:11:37.664160
Ethiopia,14,232.05928571428572,2025-10-18 01:11:37.664160
Portugal,14,141.25285714285715,2025-10-18 01:11:37.664160
Panama,13,202.57384615384615,2025-10-18 01:11:37.664160
Oman,13,192.52692307692308,2025-10-18 01:11:37.664160
Colombia,13,90.03923076923077,2025-10-18 01:11:37.664160
Bahrain,11,209.97272727272727,2025-10-18 01:11:37.664160
Malta,11,226.8063636363636,2025-10-18 01:11:37.664160
Greece,9,177.34444444444443,2025-10-18 01:11:37.664160
Norway,9,172.79333333333335,2025-10-18 01:11:37.664160
Sweden,8,148.51,2025-10-18 01:11:37.664160
Czech Republic,8,200.0875,2025-10-18 01:11:37.664160
Ukraine,7,239.55714285714288,2025-10-18 01:11:37.664160
Pakistan,7,247.52285714285713,2025-10-18 01:11:37.664160
Morocco,7,212.14857142857142,2025-10-18 01:11:37.664160
Lithuania,7,183.49142857142857,2025-10-18 01:11:37.664160
Jordan,6,204.56333333333336,2025-10-18 01:11:37.664160
Austria,6,154.60833333333332,2025-10-18 01:11:37.664160
Romania,6,222.61333333333334,2025-10-18 01:11:37.664160
Bulgaria,5,214.27599999999998,2025-10-18 01:11:37.664160
Republic of Moldova,5,239.77800000000002,2025-10-18 01:11:37.664160
Bangladesh,4,259.415,2025-10-18 01:11:37.664160
Switzerland,4,124.1875,2025-10-18 01:11:37.664160
Kenya,4,204.1625,2025-10-18 01:11:37.664160
Cambodia,4,154.7025,2025-10-18 01:11:37.664160
Dominican Republic,4,184.9975,2025-10-18 01:11:37.664160
Sri Lanka,3,200.02,2025-10-18 01:11:37.664160
Tunisia,3,411.24,2025-10-18 01:11:37.664160
Slovakia,3,151.51,2025-10-18 01:11:37.664160
Luxembourg,3,207.72,2025-10-18 01:11:37.664160
Fiji,3,213.18666666666664,2025-10-18 01:11:37.664160
Trinidad and Tobago,2,192.82999999999998,2025-10-18 01:11:37.664160
Nepal,2,259.985,2025-10-18 01:11:37.664160
Myanmar,2,198.31,2025-10-18 01:11:37.664160
Belgium,2,116.44500000000001,2025-10-18 01:11:37.664160
Bhutan,2,251.42,2025-10-18 01:11:37.664160
Denmark,2,226.70499999999998,2025-10-18 01:11:37.664160
Cyprus,1,262.45,2025-10-18 01:11:37.664160
Uzbekistan,1,245.9,2025-10-18 01:11:37.664160
Azerbaijan,1,241.03,2025-10-18 01:11:37.664160
Brunei Darussalam,1,145.59,2025-10-18 01:11:37.664160
Serbia,1,243.96,2025-10-18 01:11:37.664160
Rwanda,1,77.88,2025-10-18 01:11:37.664160
Ecuador,1,107.62,2025-10-18 01:11:37.664160
Latvia,1,227.19,2025-10-18 01:11:37.664160
Libyan Arab Jamahiriya,1,248.43,2025-10-18 01:11:37.664160
Slovenia,1,229.18,2025-10-18 01:11:37.664160
Algeria,1,218.22,2025-10-18 01:11:37.664160
