origin_country,total_flights,avg_velocity,processing_time
United States,135,157.21725925925927,2025-10-18 21:22:19.260917
Canada,9,164.51555555555558,2025-10-18 21:22:19.260917
Turkey,7,237.10714285714286,2025-10-18 21:22:19.260917
Spain,7,212.08999999999997,2025-10-18 21:22:19.260917
Ireland,7,140.82857142857142,2025-10-18 21:22:19.260917
United Kingdom,6,210.8033333333333,2025-10-18 21:22:19.260917
Poland,4,198.26,2025-10-18 21:22:19.260917
Brazil,4,146.36,2025-10-18 21:22:19.260917
Qatar,3,193.98000000000002,2025-10-18 21:22:19.260917
Malta,3,185.32333333333335,2025-10-18 21:22:19.260917
Austria,3,221.66,2025-10-18 21:22:19.260917
Sweden,3,142.27333333333334,2025-10-18 21:22:19.260917
India,3,226.70000000000002,2025-10-18 21:22:19.260917
Hungary,3,231.91,2025-10-18 21:22:19.260917
Germany,3,183.79333333333332,2025-10-18 21:22:19.260917
Thailand,3,243.56333333333336,2025-10-18 21:22:19.260917
Switzerland,2,208.69,2025-10-18 21:22:19.260917
Kingdom of the Netherlands,2,172.305,2025-10-18 21:22:19.260917
Republic of Korea,2,265.555,2025-10-18 21:22:19.260917
China,2,241.91500000000002,2025-10-18 21:22:19.260917
New Zealand,2,82.32000000000001,2025-10-18 21:22:19.260917
Norway,2,206.375,2025-10-18 21:22:19.260917
Taiwan,1,254.15,2025-10-18 21:22:19.260917
Ukraine,1,220.54,2025-10-18 21:22:19.260917
United Arab Emirates,1,264.04,2025-10-18 21:22:19.260917
Portugal,1,106.0,2025-10-18 21:22:19.260917
Australia,1,156.57,2025-10-18 21:22:19.260917
Montenegro,1,81.63,2025-10-18 21:22:19.260917
Mexico,1,71.34,2025-10-18 21:22:19.260917
Lithuania,1,244.74,2025-10-18 21:22:19.260917
Libyan Arab Jamahiriya,1,215.28,2025-10-18 21:22:19.260917
Latvia,1,193.71,2025-10-18 21:22:19.260917
Japan,1,282.36,2025-10-18 21:22:19.260917
Greece,1,258.41,2025-10-18 21:22:19.260917
France,1,221.37,2025-10-18 21:22:19.260917
Egypt,1,243.74,2025-10-18 21:22:19.260917
Denmark,1,217.52,2025-10-18 21:22:19.260917
Croatia,1,201.89,2025-10-18 21:22:19.260917
Chile,1,226.86,2025-10-18 21:22:19.260917
Malaysia,1,209.86,2025-10-18 21:22:19.260917
