origin_country,total_flights,avg_velocity,processing_time
United States,26,161.67346153846154,2025-10-17 17:17:49.106284
United Kingdom,6,170.125,2025-10-17 17:17:49.106284
China,3,225.24666666666667,2025-10-17 17:17:49.106284
Sweden,3,180.38333333333333,2025-10-17 17:17:49.106284
Malta,2,161.34,2025-10-17 17:17:49.106284
Turkey,2,232.04000000000002,2025-10-17 17:17:49.106284
Ireland,2,212.665,2025-10-17 17:17:49.106284
Qatar,2,250.645,2025-10-17 17:17:49.106284
Republic of Korea,1,224.67,2025-10-17 17:17:49.106284
Ukraine,1,213.0,2025-10-17 17:17:49.106284
Thailand,1,223.12,2025-10-17 17:17:49.106284
Switzerland,1,37.33,2025-10-17 17:17:49.106284
Argentina,1,215.85,2025-10-17 17:17:49.106284
Canada,1,225.18,2025-10-17 17:17:49.106284
Kingdom of the Netherlands,1,247.47,2025-10-17 17:17:49.106284
Japan,1,253.72,2025-10-17 17:17:49.106284
India,1,5.4,2025-10-17 17:17:49.106284
Greece,1,237.43,2025-10-17 17:17:49.106284
Germany,1,217.23,2025-10-17 17:17:49.106284
France,1,119.0,2025-10-17 17:17:49.106284
Viet Nam,1,177.0,2025-10-17 17:17:49.106284
