origin_country,total_flights,avg_velocity,processing_time
United States,1149,153.86727351916377,2025-10-18 21:22:13.564194
Canada,88,143.07295454545454,2025-10-18 21:22:13.564194
Ireland,70,195.52314285714286,2025-10-18 21:22:13.564194
United Kingdom,65,204.21123076923075,2025-10-18 21:22:13.564194
Turkey,46,231.26282608695652,2025-10-18 21:22:13.564194
Germany,45,202.37755555555555,2025-10-18 21:22:13.564194
Malta,37,210.6854054054054,2025-10-18 21:22:13.564194
Spain,37,193.31756756756758,2025-10-18 21:22:13.564194
France,36,200.51194444444445,2025-10-18 21:22:13.564194
Austria,30,199.20966666666666,2025-10-18 21:22:13.564194
Kingdom of the Netherlands,27,208.86518518518517,2025-10-18 21:22:13.564194
Poland,23,204.7673913043478,2025-10-18 21:22:13.564194
Brazil,18,173.13555555555556,2025-10-18 21:22:13.564194
United Arab Emirates,18,208.8461111111111,2025-10-18 21:22:13.564194
Qatar,17,186.9123529411765,2025-10-18 21:22:13.564194
Switzerland,17,202.65235294117647,2025-10-18 21:22:13.564194
India,17,197.73058823529414,2025-10-18 21:22:13.564194
Mexico,15,190.24266666666665,2025-10-18 21:22:13.564194
Republic of Korea,15,228.64666666666665,2025-10-18 21:22:13.564194
Sweden,15,176.57133333333334,2025-10-18 21:22:13.564194
Australia,14,141.99428571428572,2025-10-18 21:22:13.564194
China,13,239.47153846153847,2025-10-18 21:22:13.564194
Japan,11,197.67181818181817,2025-10-18 21:22:13.564194
New Zealand,11,131.87272727272727,2025-10-18 21:22:13.564194
Morocco,10,236.88400000000001,2025-10-18 21:22:13.564194
Portugal,10,193.404,2025-10-18 21:22:13.564194
Hungary,9,216.76444444444445,2025-10-18 21:22:13.564194
Philippines,8,211.68125,2025-10-18 21:22:13.564194
Norway,7,203.88857142857142,2025-10-18 21:22:13.564194
Greece,7,185.95000000000002,2025-10-18 21:22:13.564194
Thailand,7,244.95000000000002,2025-10-18 21:22:13.564194
Singapore,6,236.985,2025-10-18 21:22:13.564194
Finland,6,185.29833333333332,2025-10-18 21:22:13.564194
Taiwan,6,241.46,2025-10-18 21:22:13.564194
Malaysia,6,229.80166666666665,2025-10-18 21:22:13.564194
Belgium,5,228.26,2025-10-18 21:22:13.564194
Denmark,5,218.08,2025-10-18 21:22:13.564194
Latvia,4,211.505,2025-10-18 21:22:13.564194
Lithuania,4,184.2375,2025-10-18 21:22:13.564194
Czech Republic,4,125.6,2025-10-18 21:22:13.564194
Russian Federation,4,215.5575,2025-10-18 21:22:13.564194
Romania,3,178.01333333333332,2025-10-18 21:22:13.564194
Algeria,3,201.79333333333332,2025-10-18 21:22:13.564194
Argentina,3,163.96333333333334,2025-10-18 21:22:13.564194
Italy,3,175.85333333333332,2025-10-18 21:22:13.564194
Chile,3,139.42,2025-10-18 21:22:13.564194
Bulgaria,3,211.00333333333333,2025-10-18 21:22:13.564194
Indonesia,3,244.21333333333334,2025-10-18 21:22:13.564194
Saudi Arabia,2,87.57499999999999,2025-10-18 21:22:13.564194
Oman,2,275.735,2025-10-18 21:22:13.564194
Ethiopia,2,104.24000000000001,2025-10-18 21:22:13.564194
Croatia,2,103.645,2025-10-18 21:22:13.564194
Colombia,2,81.245,2025-10-18 21:22:13.564194
Republic of Moldova,2,227.66,2025-10-18 21:22:13.564194
Trinidad and Tobago,1,236.71,2025-10-18 21:22:13.564194
Tunisia,1,235.71,2025-10-18 21:22:13.564194
Ukraine,1,220.54,2025-10-18 21:22:13.564194
Lebanon,1,150.72,2025-10-18 21:22:13.564194
San Marino,1,84.61,2025-10-18 21:22:13.564194
Panama,1,208.56,2025-10-18 21:22:13.564194
Montenegro,1,81.63,2025-10-18 21:22:13.564194
Luxembourg,1,263.47,2025-10-18 21:22:13.564194
Libyan Arab Jamahiriya,1,219.36,2025-10-18 21:22:13.564194
Jordan,1,267.63,2025-10-18 21:22:13.564194
Israel,1,210.34,2025-10-18 21:22:13.564194
Iceland,1,119.35,2025-10-18 21:22:13.564194
Guatemala,1,90.75,2025-10-18 21:22:13.564194
Fiji,1,270.91,2025-10-18 21:22:13.564194
Estonia,1,244.57,2025-10-18 21:22:13.564194
Egypt,1,243.74,2025-10-18 21:22:13.564194
Dominican Republic,1,214.08,2025-10-18 21:22:13.564194
Bahrain,1,200.77,2025-10-18 21:22:13.564194
Viet Nam,1,276.6,2025-10-18 21:22:13.564194
